user_id,user_name,drinking_usage_litres,bathing_usage_litres,cooking_usage_litres,washing_usage_litres,other_usage_litres,total_usage_litres,Water_Usage_Category
1,Charvi Cherian,3.71,28.71,42.56,38.31,25.48,138.77,High
2,Romil Khosla,4.25,36.16,5.57,51.63,17.58,115.19,Normal
3,Keya Sharaf,4.49,11.52,27.18,8.63,33.36,85.18,Low
4,Dhruv Sankaran,4.35,14.85,5.05,16.29,1.04,41.58,Low
5,Indrans Bhavsar,3.1,41.61,7.51,74.2,25.62,152.04,High
6,Tejas Lalla,1.4,44.96,30.6,71.66,8.89,157.51,High
7,Vivaan Vaidya,3.89,39.07,11.8,5.31,25.11,85.18,Low
8,Khushi Chandran,1.89,46.89,31.53,66.88,12.05,159.24,High
9,Chirag Dugal,3.02,59.04,44.39,57.34,7.43,171.22,High
10,Kismat Bhalla,1.16,22.05,10.33,51.13,14.59,99.26,Low
11,Alia D’Alia,2.42,23.45,11.07,51.56,23.44,111.94,Normal
12,Nitya Dyal,4.37,36.21,30.96,55.9,18.56,146.0,High
13,Anaya Choudhary,3.27,50.02,45.17,62.84,13.02,174.32,High
14,Jiya Sandal,2.63,39.33,36.46,65.57,27.29,171.28,High
15,Tara Borra,2.49,50.47,48.58,23.53,38.6,163.67,High
16,Kiaan Cherian,1.43,12.63,28.59,43.98,9.08,95.71,Low
17,Adira Lad,4.64,44.92,42.34,5.12,10.78,107.8,Normal
18,Reyansh Aggarwal,4.56,22.38,10.23,31.61,3.12,71.9,Low
19,Ishaan Golla,1.25,38.48,54.05,41.59,1.91,137.28,High
20,Vihaan Kuruvilla,3.06,33.81,54.05,57.98,37.91,186.81,High
21,Madhav Swaminathan,4.12,13.95,42.58,6.43,31.59,98.67,Low
22,Reyansh Dasgupta,1.52,43.02,32.24,10.63,20.56,107.97,Normal
23,Ryan Tata,1.93,29.74,37.2,50.54,7.79,127.2,Normal
24,Damini Kalita,4.71,38.69,49.32,48.02,22.67,163.41,High
25,Neysa Dhar,2.69,14.08,32.56,77.23,39.8,166.36,High
26,Arnav Chauhan,4.32,51.11,47.83,25.07,19.28,147.61,High
27,Rania Rastogi,1.46,33.35,31.95,18.47,36.7,121.93,Normal
28,Indrajit Ganguly,4.64,49.19,14.18,7.04,11.91,86.96,Low
29,Akarsh Warrior,1.65,7.79,36.95,52.01,16.24,114.64,Normal
30,Ivan Sheth,4.46,18.17,10.83,28.71,5.15,67.32,Low
31,Miraan Wali,2.68,54.02,28.86,39.19,36.45,161.2,High
32,Akarsh Doshi,2.04,54.51,15.87,15.06,11.31,98.79,Low
33,Sumer Ratti,3.87,14.54,43.57,58.42,38.78,159.18,High
34,Adah Subramaniam,3.97,36.53,6.8,8.11,30.76,86.17,Low
35,Oorja Kashyap,1.7,36.2,24.3,54.57,37.35,154.12,High
36,Misha Singhal,3.72,31.44,35.18,43.12,21.15,134.61,Normal
37,Yuvaan Lal,2.06,58.37,53.79,35.26,30.64,180.12,High
38,Vritika Sibal,3.34,27.99,25.03,16.5,30.58,103.44,Normal
39,Shaan Bassi,3.86,8.38,57.91,72.27,16.02,158.44,High
40,Rohan Roy,4.99,33.51,45.44,5.65,29.83,119.42,Normal
41,Kabir Tank,1.94,19.23,43.98,49.79,22.68,137.62,High
42,Anya Wagle,4.03,46.58,54.03,67.98,36.45,209.07,High
43,Kashvi Mandal,2.72,6.37,34.9,58.12,15.35,117.46,Normal
44,Eva Ganesh,1.91,21.04,55.8,36.38,3.67,118.8,Normal
45,Faiyaz Choudhry,2.68,50.6,47.14,59.5,20.51,180.43,High
46,Suhana Babu,1.9,40.38,27.77,58.21,36.03,164.29,High
